Dach,Dachow,,,,,,,,kWp,,,8ct,9ct,10ct,,Verbrauch,Haeuser,,,,,,0,1,2,3,4,5,6,7,8,9,2,1.7,1.5,1,0.7,,,,0,1,2,3,4,5,6,7,8,9,2,1.7,1.5,1,0.7,,,,0,1,2,3,4,5,6,7,8,9,2,1.7,1.5,1,0.7,
20,0,,920,,,,46,0,4,,,9,9,9,,<900,8,,,,,,0,0,0,0,0,0,0,0,0,0.156642528322482,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
49.7,0,,920,,,,18.5110663983903,0,9.94,,,7,9,9,,900-1500,17,,,,,,0,0,0,0,0.360251869487516,0.505892115220363,0.847127759395128,0.933616930708436,0.883686819069629,0.948730402916254,0,0,0,0,1,,,,0,0,0,0,0,0.090824828442115,0.422315607846091,0.501723663297704,0.446481351596018,0.506596964175299,0,0,0,0,0,,,,0,0,0,0,0,0,0,0.031401520745189,0,0.024106193836526,0,0,0,0,0,7
7,62,,1074,,,,15.5652173913043,0,13.8,,,9,9,9,,1500-2300,27,,,,,,0,0,0,0.029649197717929,0.401037765248224,0.37694573598106,0.465210632241919,0.807224499086168,0.865094155061841,0.911732727029735,0,0,0,0,1,,,,0,0,0,0,0,0,0.039559510943521,0.361793423961276,0.413536370135104,0.45508911327945,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
13.75,56.35,,1074,,,,15.320970042796,0,14.02,,,9,9,9,,2300-3600,26,,,,,,0,0,0,0.093792207053811,0.465061184937365,0.44226343092939,0.529461884266213,0.871886429849522,0.929704949354271,0.975787040425469,0,0,0,0,1,,,,0,0,0,0,0.057088146557782,0.023512509570267,0.101956095945588,0.424634138076252,0.476436131210201,0.517538888730762,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0.015795677894315,0,0,0,0,0,9
10.7,72.65,,1074,,,,12.8854229154169,0,16.67,,,9,9,9,,3600-5000,17,,,,,,0,0,0,0.395872614521053,0.397062813694626,0.768836081201219,0.851355472785698,0.913380218460569,0.962220068586772,1.00140662537107,0,0,0,1,1,,,,0,0,0,0,0,0.328611142764057,0.402711768517339,0.458091149620987,0.501557796613139,0.536297226366145,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0.026324720608284,0,0,0,0,0,9
0,48.95,,1074,,,,21.9407558733401,0,9.79,,,9,7,9,,5000-6000,3,,,,,,0,0,0,0,0,0.012071663517688,0.337977215610996,0.413197849416691,0.354054869007236,0.411398345382286,0,0,0,0,0,,,,0,0,0,0,0,0,0,0.000531891848765,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,58.6,,1267,,,,21.6211604095563,0,11.72,,,9,9,9,,>6000,2,,,,,,0,0,0,0,0.036432416022625,0.381883557645746,0.340073036124422,0.416912999614438,0.750306531852796,0.803805936349855,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0.312586730063891,0.360353178357009,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,49,,1267,,,,25.8571428571429,0,9.8,,,9,7,9,,,,,,,,,0,0,0,0,0,0.038634259638526,0.366674311703652,0.442826032591315,0.383145563189058,0.44022805609516,0,0,0,0,0,,,,0,0,0,0,0,0,0,0.033887651120956,0,0.01875446479811,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
21,0,,1267,,,,60.3333333333333,0,4.2,,,9,9,9,,,,,,,,,0,0,0,0,0,0,0,0,0.021032579004943,0.317021313269317,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10.15,58.75,,1267,,,,18.388969521045,0,13.78,,,9,9,9,,,,,,,,,0,0,0,0.079097540913931,0.4551281436739,0.431339927581775,0.519706433318334,0.86208133026755,0.919220828910161,0.96583952568936,0,0,0,0,1,,,,0,0,0,0,0.052531175067294,0.018004222899481,0.097511375417025,0.420335449195197,0.471341299875583,0.512801084028358,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0.017295437391596,0,0,0,0,0,9
43.75,0,,1267,,,,28.96,0,8.75,,,8,8,9,,,,,,,,,0,0,0,0,0.353390232297479,0.502851325416076,0.843272643753568,0.93490765716242,1.0062978358381,0.942979679136768,0,0,0,0,1,,,,0,0,0,0,0,0.109104754487577,0.43838927350921,0.521694331976863,0.586169342074494,0.517514256003437,0,0,0,0,0,,,,0,0,0,0,0,0,0,0.073449215822308,0.129799668125852,0.054811886976292,0,0,0,0,0,8
52.875,0,,1267,,,,23.9621749408983,1,10.575,,,9,9,9,,,,,,,,,0,0,0,0.323340872750033,0.508375919545689,0.868619443026164,0.96915224344456,0.921520584022772,0.992414726412538,1.32305940373574,0,0,0,1,1,,,,0,0,0,0,0.114136490512418,0.46148910775885,0.552616826277963,0.497907640237294,0.562484328376289,0.875096136830633,0,0,0,0,1,,,,0,0,0,0,0,0.020371835496769,0.100471277026148,0.037387776548781,0.094514304241988,0.38581915282907,0,0,0,0,0,9
0,84.3,,1267,,,,15.0296559905101,0,16.86,,,9,9,9,,,,,,,,,0,0,0,0.356083718162248,0.356335146063835,0.727798677294023,0.807057970457814,0.867660182416663,0.913544934052557,0.951066045526772,0,0,0,0,1,,,,0,0,0,0,0,0.29243613256722,0.36323975957202,0.417081493148785,0.457472341216647,0.490368720189682,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
30.45,0,,1374,,,,45.1231527093596,0,6.09,,,9,9,9,,,,,,,,,0,0,0,0.044371625115014,0.253153691548524,0.39176807748591,0.693511175141071,0.775762942024727,0.839206452384622,1.12170764200701,0,0,0,1,1,,,,0,0,0,0,0,0.078229715940448,0.363061603848891,0.43173890302628,0.483728485567903,0.755582598907045,0,0,0,0,1,,,,0,0,0,0,0,0,0.01055061854347,0.063754606206135,0.102622168017863,0.362290353017269,0,0,0,0,0,9
59,0,,1374,,,,23.2881355932203,1,11.8,,,9,9,9,,,,,,,,,0,0.010579705484815,0.369060554845113,0.756815945131195,0.875417343770679,1.1919408606438,1.12666075845562,1.18318830727728,1.50910952280539,1.54907874088706,0,0,1,1,1,,,,0,0,0.058960678397968,0.415979831569135,0.513047380480569,0.812472611255877,0.734926841282779,0.78119848291387,1.08725786256982,1.11977434834361,0,0,0,1,1,,,,0,0,0,0.051636894774698,0.124016205974042,0.403758357172923,0.31192063446055,0.346223783322119,0.629051042709161,0.652773683565555,0,0,0,0,0,9
